latitude,longitude,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.368453333333335,-70.690275,26.53,28.02,29.63,957.8,0.1,"18/01, 13:21:17"
-33.368451666666665,-70.690275,26.51,28.06,29.63,957.79,-0.0,"18/01, 13:21:21"
-33.368451666666665,-70.690275,26.51,28.09,29.52,957.81,0.02,"18/01, 13:21:25"
-33.368451666666665,-70.690275,26.51,28.14,29.52,957.82,-0.0,"18/01, 13:21:29"
-33.368451666666665,-70.690275,26.51,28.15,29.43,957.8,0.04,"18/01, 13:21:33"
-33.368451666666665,-70.690275,26.45,28.16,29.34,957.79,0.0,"18/01, 13:21:37"
-33.368451666666665,-70.690275,26.45,28.16,29.44,957.81,0.05,"18/01, 13:21:41"
-33.368451666666665,-70.690275,26.41,28.15,29.54,957.82,-0.0,"18/01, 13:21:45"
-33.368451666666665,-70.690275,26.45,28.15,29.54,957.8,0.02,"18/01, 13:21:50"
-33.368453333333335,-70.690275,26.48,28.15,29.94,957.79,-0.0,"18/01, 13:21:53"
-33.368451666666665,-70.69027666666666,26.51,28.15,29.82,957.8,0.04,"18/01, 13:21:57"
-33.368451666666665,-70.69027666666666,26.55,28.17,29.72,957.8,0.0,"18/01, 13:22:01"
-33.368451666666665,-70.69027666666666,26.6,28.2,29.72,957.82,0.02,"18/01, 13:22:05"
-33.368451666666665,-70.69027666666666,26.51,28.17,29.72,957.82,0.0,"18/01, 13:22:09"
-33.368451666666665,-70.69027666666666,26.52,28.09,29.63,957.78,-0.0,"18/01, 13:22:13"
-33.368451666666665,-70.69027666666666,26.55,28.11,29.92,957.78,0.0,"18/01, 13:22:17"
-33.368451666666665,-70.69027666666666,26.59,28.14,30.22,957.8,-0.0,"18/01, 13:22:21"
-33.368453333333335,-70.69027666666666,26.58,28.13,30.12,957.8,0.0,"18/01, 13:22:26"
-33.368453333333335,-70.69027666666666,26.6,28.14,29.92,957.78,-0.02,"18/01, 13:22:29"
-33.368453333333335,-70.69027833333334,26.63,28.17,29.92,957.81,0.0,"18/01, 13:22:33"
-33.368453333333335,-70.69027833333334,26.66,28.22,30.02,957.83,0.02,"18/01, 13:22:37"
-33.368453333333335,-70.69027833333334,26.68,28.26,30.52,957.79,-0.0,"18/01, 13:22:41"
-33.368453333333335,-70.69027833333334,26.7,28.3,31.01,957.77,0.0,"18/01, 13:22:45"
-33.368453333333335,-70.69027833333334,26.65,28.32,30.41,957.77,0.0,"18/01, 13:22:49"
-33.368453333333335,-70.69027833333334,26.7,28.34,30.12,957.77,0.0,"18/01, 13:22:53"
-33.368453333333335,-70.69027833333334,26.73,28.35,30.22,957.76,-0.0,"18/01, 13:22:57"
-33.368453333333335,-70.69027833333334,26.74,28.37,30.21,957.77,-0.0,"18/01, 13:23:01"
-33.368453333333335,-70.69028,26.75,28.41,29.81,957.77,0.0,"18/01, 13:23:05"
-33.368453333333335,-70.69028,26.78,28.43,29.71,957.77,0.0,"18/01, 13:23:09"
-33.368453333333335,-70.69028,26.74,28.45,29.41,957.78,0.0,"18/01, 13:23:13"
-33.368453333333335,-70.69028,26.75,28.46,29.21,957.77,0.0,"18/01, 13:23:17"
-33.368453333333335,-70.69028,26.75,28.44,29.41,957.78,0.0,"18/01, 13:23:21"
-33.368453333333335,-70.69028,26.77,28.4,29.81,957.78,-0.0,"18/01, 13:23:25"
-33.368453333333335,-70.69028,26.75,28.43,30.1,957.79,-0.0,"18/01, 13:23:29"
-33.368453333333335,-70.69028,26.75,28.45,29.71,957.79,-0.0,"18/01, 13:23:33"
-33.368455,-70.69028,26.77,28.46,29.41,957.79,0.0,"18/01, 13:23:37"
-33.368455,-70.69028,26.77,28.47,29.32,957.8,-0.0,"18/01, 13:23:41"
-33.368455,-70.69028,26.8,28.46,29.21,957.78,-0.0,"18/01, 13:23:45"
-33.368455,-70.69028,26.84,28.44,29.21,957.78,0.0,"18/01, 13:23:49"
-33.368455,-70.69028,26.85,28.45,29.32,957.79,-0.0,"18/01, 13:23:53"
-33.368455,-70.69028166666666,26.84,28.43,29.41,957.77,-0.0,"18/01, 13:23:57"
-33.368455,-70.69028166666666,26.83,28.39,29.51,957.76,0.04,"18/01, 13:24:01"
-33.368455,-70.69028166666666,26.88,28.42,29.61,957.77,0.0,"18/01, 13:24:05"
-33.368455,-70.69028166666666,26.88,28.42,29.91,957.77,0.14,"18/01, 13:24:09"
-33.368455,-70.69028166666666,26.9,28.47,30.1,957.76,-0.0,"18/01, 13:24:13"
-33.368455,-70.69028166666666,26.96,28.52,30.1,957.77,0.05,"18/01, 13:24:17"
-33.368455,-70.69028166666666,26.99,28.57,29.79,957.77,0.0,"18/01, 13:24:21"
-33.368455,-70.69028166666666,27.02,28.61,30.19,957.77,0.14,"18/01, 13:24:25"
-33.368455,-70.69028166666666,27.05,28.64,30.29,957.73,-0.0,"18/01, 13:24:29"
-33.368455,-70.69028166666666,27.1,28.68,30.39,957.76,0.02,"18/01, 13:24:33"
-33.368455,-70.69028166666666,27.12,28.72,30.39,957.77,0.0,"18/01, 13:24:37"
-33.368455,-70.69028166666666,27.17,28.77,30.39,957.77,0.07,"18/01, 13:24:41"
-33.368455,-70.69028166666666,27.18,28.81,30.68,957.78,0.0,"18/01, 13:24:45"
-33.368455,-70.69028166666666,27.22,28.85,30.57,957.78,0.04,"18/01, 13:24:49"
-33.368455,-70.69028166666666,27.21,28.88,30.79,957.79,-0.0,"18/01, 13:24:53"
-33.368455,-70.69028166666666,27.17,28.9,30.09,957.77,0.01,"18/01, 13:24:57"
-33.368455,-70.69028166666666,27.21,28.92,29.5,957.78,-0.0,"18/01, 13:25:01"
-33.368455,-70.69028166666666,27.25,28.9,29.97,957.78,0.07,"18/01, 13:25:05"
-33.368455,-70.69028166666666,27.29,28.93,29.97,957.78,-0.0,"18/01, 13:25:09"
-33.368455,-70.69028166666666,27.29,28.96,30.18,957.78,-0.01,"18/01, 13:25:13"
-33.368455,-70.69028166666666,27.3,28.97,30.77,957.79,-0.0,"18/01, 13:25:17"
-33.368455,-70.69028166666666,27.27,28.94,30.37,957.78,0.04,"18/01, 13:25:21"
-33.368455,-70.69028166666666,27.27,28.9,29.97,957.78,-0.0,"18/01, 13:25:25"
-33.368455,-70.69028166666666,27.3,28.93,30.08,957.79,0.05,"18/01, 13:25:29"
-33.368455,-70.69028166666666,27.3,28.9,29.68,957.78,-0.0,"18/01, 13:25:33"
-33.368455,-70.69028166666666,27.33,28.95,29.48,957.78,0.02,"18/01, 13:25:37"
-33.368455,-70.69028166666666,27.36,28.98,29.38,957.79,-0.0,"18/01, 13:25:41"
-33.368455,-70.69028166666666,27.36,29.01,29.28,957.77,0.04,"18/01, 13:25:45"
-33.368455,-70.69028166666666,27.3,28.98,28.89,957.76,0.0,"18/01, 13:25:49"
-33.368455,-70.69028166666666,27.3,28.9,28.79,957.75,0.06,"18/01, 13:25:53"
-33.368455,-70.69028166666666,27.32,28.9,28.79,957.72,-0.0,"18/01, 13:25:57"
-33.36845666666667,-70.69028166666666,27.27,28.88,28.59,957.73,0.01,"18/01, 13:26:01"
-33.36845666666667,-70.69028333333333,27.35,28.92,28.99,957.74,0.0,"18/01, 13:26:05"
-33.36845666666667,-70.69028333333333,27.35,28.91,29.09,957.76,-0.0,"18/01, 13:26:09"
-33.36845666666667,-70.69028333333333,27.33,28.92,29.48,957.75,0.0,"18/01, 13:26:13"
-33.36845666666667,-70.69028333333333,27.37,28.95,29.48,957.76,0.0,"18/01, 13:26:17"
-33.36845666666667,-70.69028333333333,27.39,28.98,29.28,957.75,-0.0,"18/01, 13:26:21"
-33.36845666666667,-70.69028333333333,27.42,29.0,28.99,957.74,0.0,"18/01, 13:26:25"
-33.36845666666667,-70.69028333333333,27.45,29.03,28.99,957.72,0.0,"18/01, 13:26:29"
-33.36845666666667,-70.69028333333333,27.48,29.06,28.78,957.71,0.0,"18/01, 13:26:33"
-33.36845666666667,-70.69028333333333,27.48,29.07,28.78,957.67,0.0,"18/01, 13:26:37"
-33.36845666666667,-70.69028333333333,27.47,29.05,28.78,957.67,0.0,"18/01, 13:26:41"
-33.36845666666667,-70.69028333333333,27.51,29.1,29.17,957.66,-0.0,"18/01, 13:26:45"
-33.36845666666667,-70.69028333333333,27.54,29.14,29.07,957.66,-0.0,"18/01, 13:26:50"
-33.36845666666667,-70.69028333333333,27.55,29.19,29.17,957.67,-0.0,"18/01, 13:26:53"
-33.36845666666667,-70.69028333333333,27.55,29.24,28.97,957.72,-0.0,"18/01, 13:26:57"
-33.36845666666667,-70.690285,27.49,29.24,28.78,957.7,0.0,"18/01, 13:27:01"
-33.36845666666667,-70.690285,27.47,29.22,28.48,957.7,0.0,"18/01, 13:27:05"
-33.36845666666667,-70.690285,27.39,29.2,28.49,957.68,-0.0,"18/01, 13:27:09"
-33.36845666666667,-70.690285,27.33,29.14,28.3,957.68,0.0,"18/01, 13:27:13"
